ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Lineage_0,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Isolate,WALS_Area,Autotyp,Country,Ancient,Papuan,Altitude,Eastness,Ethnologue_Ethnic_Population,Adjusted_Population,Social_Region
691,Zoque,North America,17.3,-93.3,chim1300,zoh,Totozoquean-Chitimacha,Totozoquean,Mixe-Zoque,Zoque,,,false,North America,Central America,MX,false,false,446.0,286.7,4500,4500,Americas_CentralExtend
692,Mombum,Papunesia,-8.167,139.083,nucl1452,mso,Trans New Guinea,Mombum,,,,,false,Australia-New Guinea,South New Guinea,ID,false,true,0.0,159.083,250,250,Aust_NG_Mel
693,Monumbo,Papunesia,-4.25,145.0,nucl1458,mxk,Torricelli,Kombio-Arapesh,,,,,false,Australia-New Guinea,North New Guinea,PG,false,true,13.0,165.0,410,410,Aust_NG_Mel
694,Kanum,Papunesia,-8.583,140.75,ngka1235,kcd,South New Guinea,,,,,,false,Australia-New Guinea,South New Guinea,ID,false,true,24.0,160.75,150,150,Aust_NG_Mel
695,Morori,Papunesia,-8.5,140.667,moro1289,mok,Morori,,,,,,true,Australia-New Guinea,South New Guinea,ID,false,true,16.0,160.667,250,250,Aust_NG_Mel
696,Yei,Papunesia,-7.917,140.833,yeii1239,jei,South New Guinea,,,,,,false,Australia-New Guinea,South New Guinea,ID,false,true,16.0,160.833,2390,2390,Aust_NG_Mel
697,Moseten,South America,-14.5,-68.0,mose1249,cas,Moseten,,,,,,true,South America,Amazon,BO,false,false,789.0,312.0,5907,5907,Americas_East
698,Pirahã,South America,-7.33,-62.0,pira1253,myp,Mura,,,,,,true,South America,Amazon,BR,false,false,60.0,318.0,1500,1500,Americas_East
699,Alabama,North America,32.7,-86.1,alab1237,akz,Muskogean,Eastern,,,,,false,North America,Eastern North America,US,false,false,68.0,293.9,100,199,Americas_East
700,Choctaw,North America,32.25,-88.5,choc1276,cho,Muskogean,Western,,,,,false,North America,Eastern North America,US,false,false,170.0,291.5,11400,11400,Americas_East
701,Koasati,North America,34.83,-85.17,koas1236,cku,Muskogean,Eastern,,,,,false,North America,Eastern North America,US,false,false,301.0,294.83,224,224,Americas_East
702,Mikasuki,North America,32.0,-85.0,mika1239,mik,Muskogean,Eastern,,,,,false,North America,Eastern North America,US,false,false,90.0,295.0,400,400,Americas_East
703,Chipewyan,North America,59.0,-106.0,chip1261,chp,Dene-Yeniseic,Na-Dene,Athapaskan,Northern Athapaskan,Northwest Canada,,false,North America,Eastern North America,CA,false,false,440.0,274.0,9030,9030,Americas_North_West
704,Chiricahua,North America,33.5,-108.0,mesc1238,apm,Dene-Yeniseic,Na-Dene,Athapaskan,Apachean,Western,,false,North America,Western North America,US,false,false,316.0,272.0,9030,9030,Americas_CentralExtend
705,Hupa,North America,41.08,-123.67,hupa1239,hup,Dene-Yeniseic,Na-Dene,Athapaskan,Pacific Coast,California,,false,North America,California,US,false,false,219.0,256.33,223,223,Americas_North_West
706,Koyukon,North America,65.0,-155.0,koyu1237,koy,Dene-Yeniseic,Na-Dene,Athapaskan,Northern Athapaskan,Central Alaska-Yukon,,false,North America,Pacific Northwest,US,false,false,0.0,225.0,2300,2300,Americas_North_NorthwestCoast
707,Navajo,North America,36.17,-108.0,nava1243,nav,Dene-Yeniseic,Na-Dene,Athapaskan,Apachean,Western,,false,North America,Western North America,US,false,false,1904.0,272.0,149000,149000,Americas_North_West
708,Sarcee,North America,52.5,-116.0,sars1236,srs,Dene-Yeniseic,Na-Dene,Athapaskan,Northern Athapaskan,Sarsi,,false,North America,Western North America,CA,false,false,1299.0,264.0,600,600,Americas_North_West
709,Slave,North America,60.0,-120.0,sout2959,xsl,Dene-Yeniseic,Na-Dene,Athapaskan,Northern Athapaskan,Northwest Canada,,false,North America,Eastern North America,CA,false,false,0.0,260.0,3920,3920,Americas_North_West
710,Tanacross,North America,63.5,-143.5,tana1290,tcb,Dene-Yeniseic,Na-Dene,Athapaskan,Northern Athapaskan,Central Alaska-Yukon,,false,North America,Pacific Northwest,US,false,false,0.0,236.5,120,120,Americas_North_West
711,Tlingit,North America,57.0,-133.0,tlin1245,tli,Dene-Yeniseic,Na-Dene,Tlingit,,,,false,North America,Pacific Northwest,US,false,false,0.0,247.0,1200,1200,Americas_North_NorthwestCoast
712,Nahali,Eurasia,24.0,77.83,naha1261,nlx,Nahali,,,,,,true,Eurasia,South Asia,IN,false,false,291.0,97.83,2000,2000,MiddleOldWorld
713,Avar,Eurasia,42.54,46.7,avar1256,ava,Nakh-Daghestanian,Avar-Andi,,,,,false,Eurasia,Middle East,RU,false,false,1725.0,66.7,814473,814473,MiddleOldWorld
714,Bagulal,Eurasia,42.56,46.17,bagv1239,kva,Nakh-Daghestanian,Avar-Andi,,,,,false,Eurasia,Middle East,RU,false,false,1302.0,66.17,6500,6500,MiddleOldWorld
715,Godoberi,Eurasia,42.63,46.11,ghod1238,gdo,Nakh-Daghestanian,Avar-Andi,,,,,false,Eurasia,Middle East,RU,false,false,1708.0,66.11,3000,3000,MiddleOldWorld
716,Hunzib,Eurasia,42.16,46.23,hunz1247,huz,Nakh-Daghestanian,Tsezic,,,,,false,Eurasia,Middle East,RU,false,false,2474.0,66.23,2000,2000,MiddleOldWorld
717,Tsez,Eurasia,42.2,45.95,dido1241,ddo,Nakh-Daghestanian,Tsezic,,,,,false,Eurasia,Middle East,RU,false,false,2083.0,65.95,15400,15400,MiddleOldWorld
718,Dargwa,Eurasia,42.15,47.4,darg1241,dar,Nakh-Daghestanian,Dargi,,,,,false,Eurasia,Middle East,RU,false,false,1780.0,67.4,516490,516490,MiddleOldWorld
719,Lak,Eurasia,42.17,47.11,lakk1252,lbe,Nakh-Daghestanian,Lak,,,,,false,Eurasia,Middle East,RU,false,false,1576.0,67.11,164420,164420,MiddleOldWorld
720,Archi,Eurasia,42.07,46.86,arch1244,aqc,Nakh-Daghestanian,Lezgic,,,,,false,Eurasia,Middle East,RU,false,false,3009.0,66.86,1200,1200,MiddleOldWorld
721,Xinalug,Eurasia,41.18,48.13,khin1240,kjj,Nakh-Daghestanian,Khinalug,,,,,false,Eurasia,Middle East,AZ,false,false,2535.0,68.13,1500,1500,MiddleOldWorld
722,Lezgian,Eurasia,41.58,47.78,lezg1247,lez,Nakh-Daghestanian,Lezgic,,,,,false,Eurasia,Middle East,RU,false,false,1794.0,67.78,783720,783720,MiddleOldWorld
723,Rutul,Eurasia,41.61,47.31,rutu1240,rut,Nakh-Daghestanian,Lezgic,,,,,false,Eurasia,Middle East,RU,false,false,2530.0,67.31,29929,29929,MiddleOldWorld
724,Tsakhur,Eurasia,41.65,47.16,tsak1249,tkr,Nakh-Daghestanian,Lezgic,,,,,false,Eurasia,Middle East,RU,false,false,3112.0,67.16,9770,9770,MiddleOldWorld
725,Udi,Eurasia,41.08,47.47,udii1243,udi,Nakh-Daghestanian,Lezgic,,,,,false,Eurasia,Middle East,AZ,false,false,1766.0,67.47,8440,8440,MiddleOldWorld
726,Chechen,Eurasia,43.13,45.54,chec1245,che,Nakh-Daghestanian,Nakh,,,,,false,Eurasia,Middle East,RU,false,false,153.0,65.54,1360253,1360253,MiddleOldWorld
727,Ingush,Eurasia,42.97,44.77,ingu1240,inh,Nakh-Daghestanian,Nakh,,,,,false,Eurasia,Middle East,RU,false,false,782.0,64.77,413000,413000,MiddleOldWorld
728,Tsova-Tush,Eurasia,42.5,45.5,bats1242,bbl,Kartvelian,Georgian,,,,,false,Eurasia,Middle East,RU,false,false,2597.0,65.5,3420,3420,MiddleOldWorld
729,Mamainde,South America,-13.5,-60.0,mama1278,wmd,Nambikwara,,,,,,false,South America,Amazon,BR,false,false,491.0,320.0,330,330,Americas_East
730,Nambikwara,South America,-13.0,-59.5,sout2994,nab,Nambikwara,,,,,,false,South America,Amazon,BR,false,false,434.0,320.5,1150,1150,Americas_East
731,Natchez,North America,31.75,-91.33,natc1249,ncz,Natchez,,,,,,true,North America,Eastern North America,US,false,false,13.0,288.67,0,399,Americas_East
732,Dongolawi,Africa,18.0,32.0,dong1290,doo,Nilo-Saharan,East_Sudanic,,,,,false,Africa,North Africa,ZR,false,false,1477.0,52.0,12900,12900,Africa_SubSaharan
733,Doyayo,Africa,8.67,13.08,doya1240,dow,Adamawa-Ubangi,Adamawa,,,,,false,Africa,West Africa,CM,false,false,310.0,33.08,18000,18000,Africa_SubSaharan
734,Gbaya-Kara,Africa,6.0,15.0,nort2775,gya,Adamawa-Ubangi,Ubangi,,,,,false,Africa,West Africa,CF,false,false,897.0,35.0,274500,274500,Africa_SubSaharan
735,Gbaya-Mbodomo,Africa,4.5,15.0,sout3222,mdo,Adamawa-Ubangi,Ubangi,,,,,false,Africa,West Africa,CF,false,false,476.0,35.0,200000,200000,Africa_SubSaharan
736,Linda,Africa,6.0,21.0,band1344,liy,Adamawa-Ubangi,Ubangi,,,,,false,Africa,West Africa,CF,false,false,717.0,41.0,183000,183000,Africa_SubSaharan
737,Mba,Africa,1.0,25.0,mbaa1245,mfc,Adamawa-Ubangi,Ubangi,,,,,false,Africa,Southern Africa,ZR,false,false,498.0,45.0,36100,36100,Africa_SubSaharan
738,Mbum,Africa,7.8,13.1,mbum1254,mdd,Adamawa-Ubangi,Adamawa,,,,,false,Africa,West Africa,CM,false,false,549.0,33.1,51260,51260,Africa_SubSaharan
739,Mumuye_Zinna,Africa,8.75,11.5,nucl1240,mzm,Adamawa-Ubangi,Adamawa,,,,,false,Africa,West Africa,NG,false,false,586.0,31.5,400000,400000,Africa_SubSaharan
740,Mundang,Africa,10.1,14.45,mund1325,mua,Adamawa-Ubangi,Adamawa,,,,,false,Africa,West Africa,TD,false,false,246.0,34.45,235700,235700,Africa_SubSaharan
