ID,Name,Description,datatype,min,max
Gapsforbothpandg,Gaps for both /p/ and /g/?,,boolean,,
Unexpectedbcontrast,Unexpected /b/ contrast?,,boolean,,
Unexpecteddcontrast,Unexpected /d/ contrast?,,boolean,,
Unexpectedjcontrast,Unexpected /j/ contrast?,,boolean,,
Unexpectedgcontrast,Unexpected /g/ contrast?,,boolean,,
tmorefrontthand,t more front than d?,Voiceless coronal stop more front than voiced counterpart?,boolean,,
dmorefrontthant,d more front than t?,Voiced coronal stop more front than voiceless counterpart?,boolean,,
Plosivespace,Plosive space,,integer,0,63
Plosivetransparency,Plosive transparency,,number,0,1
Plosivedimensions,Plosive dimensions,,integer,0,14
Plosiveseriesrarity,Plosive series rarity,,number,-0.8935808274,6.3224235163
Plosivemannerrarity,Plosive manner rarity,,number,-0.786402843,8.5667267258
Nasalstops,Nasal stops?,,boolean,,
Totalnasals,Total nasals,,integer,0,12
Nasalplaces,Nasal places,,integer,0,7
Nasalmanners,Nasal manners,,integer,0,3
Glottalisednasals,Glottalised nasals?,,boolean,,
Voicelessnasals,Voiceless nasals?,,boolean,,
Breathynasals,Breathy nasals?,,boolean,,
Roundednasals,Rounded nasals?,,boolean,,
labiodentalnasals,labiodental nasals,,boolean,,
Howmanycoronalnasalplacesarethere,How many coronal nasal places are there?,,integer,0,3
retroflexnasals,retroflex nasals,,boolean,,
palatalnasals,palatal nasals,,boolean,,
Velarnasals,Velar nasals?,,boolean,,
uvularnasals,uvular nasals,,boolean,,
labialvelarnasals,labialvelar nasals,,boolean,,
Fricatives,Fricatives?,,boolean,,
Totalfricatives,Total fricatives,,integer,0,24
Fricativemanners,Fricative manners,,integer,0,4
Voicelessfricatives,Voiceless fricatives?,,boolean,,
Voicedfricatives,Voiced fricatives?,,boolean,,
Glottalisedfricatives,Glottalised fricatives?,,boolean,,
Aspiratedfricatives,Aspirated fricatives?,,boolean,,
Roundedfricatives,Rounded fricatives?,,boolean,,
Prenasalisedfricatives,Prenasalised fricatives?,,boolean,,
Ejectivefricatives,Ejective fricatives?,,boolean,,
Dentalfricatives,Dental fricatives?,,boolean,,
Lateralfricatives,Lateral fricatives?,,boolean,,
Retroflexfricatives,Retroflex fricatives,,boolean,,
Dorsalfricatives,Dorsal fricatives?,,boolean,,
Pharyngealfricatives,Pharyngeal fricatives,,boolean,,
Anyliquids,Any liquids?,,boolean,,
Totalliquids,Total liquids,,integer,0,9
Bilabialtrills,Bilabial trills?,,boolean,,
Totalrhotics,Total rhotics,,integer,0,4
Totallateral,Total lateral,,integer,0,6
Lateralplaces,Lateral places,,integer,0,4
Liquidmanners,Liquid manners,,integer,0,3
Voicelessliquids,Voiceless liquids?,,boolean,,
Glottalisedliquids,Glottalised liquids?,,boolean,,
Breathyliquids,Breathy liquids?,,boolean,,
Retroflexlaterals,Retroflex laterals?,,boolean,,
Palatallaterals,Palatal laterals?,,boolean,,
Velarlaterals,Velar laterals?,,boolean,,
Clicks,Clicks?,,boolean,,
Totalclicks,Total clicks,,integer,0,79
Bilabialclicks,Bilabial clicks?,,boolean,,
Dentalclicks,Dental clicks?,,boolean,,
Alveolarclicks,Alveolar clicks?,,boolean,,
Lateralclicks,Lateral clicks?,,boolean,,
Postalveolarclicks,Postalveolar clicks?,,boolean,,
Palatalclicks,Palatal clicks?,,boolean,,
Glides,Glides?,,boolean,,
Glideseries,Glide series,,integer,0,4
Glidemanners,Glide manners,,integer,0,3
Glottalisedglides,Glottalised glides?,,boolean,,
Voicelessglides,Voiceless glides?,,boolean,,
Breathyglides,Breathy glides?,,boolean,,
Linguolabials,Linguolabials?,,boolean,,
Uvularconsonants,Uvular consonants?,,boolean,,
Glottalisedsonorants,Glottalised sonorants?,,boolean,,
Voicelesssonorants,Voiceless sonorants?,,boolean,,
Breathysonorants,Breathy sonorants?,,boolean,,
Longvowels,Long vowels?,,boolean,,
Nasalisedvowels,Nasalised vowels?,,boolean,,
Frontroundedvowels,Front rounded vowels?,,boolean,,
Contrastivevowelheights,Contrastive vowel heights?,,integer,0,7
Toplessvowelsystemnoioru,Topless vowel system (no /i/ or /u/),,boolean,,
Bottomlessvowelsystemnoa,Bottomless vowel system (no /a/),,boolean,,
Interiorvowelsystemcontainsschwabarredietc,"Interior vowel system (contains schwa, barred-i etc.)",,boolean,,
Contrastivevowelphonations,Contrastive vowel phonations,,integer,0,3
Creakyvowels,Creaky vowels,,boolean,,
Breathyvowels,Breathy vowels,,boolean,,
Pharyngealisedvowels,Pharyngealised vowels,,boolean,,
Tensevowels,Tense vowels,,boolean,,
Voicelessvowels,Voiceless vowels,,boolean,,
SOV,SOV,,boolean,,
SVO,SVO,,boolean,,
VSO,VSO,,boolean,,
VOS,VOS,,boolean,,
OVS,OVS,,boolean,,
OSV,OSV,,boolean,,
